위도,경도
37.6578,127.0613
37.6575,127.0614
37.6591,127.0568
37.659,127.0565
37.6683,127.062
37.6679,127.0621
37.6682,127.0622
37.6627,127.0562
37.6629,127.0566
37.663,127.0561
37.6632,127.0533
37.6633,127.0531
37.6633,127.0526
37.663,127.0527
37.6679,127.0532
37.668,127.0534
37.6685,127.0511
37.6688,127.0512
37.6603,127.0749
37.6576,127.0787
37.6579,127.0788
37.6575,127.079
37.6642,127.0787
37.6644,127.0787
37.6653,127.0693
37.683,127.0567
37.683,127.0565
37.6808,127.0565
37.6806,127.0564
37.6225,127.0611
37.6295,127.0519
37.6296,127.0517
37.6294,127.0512
37.6294,127.0521
37.6339,127.0517
37.634,127.0516
37.6331,127.0591
37.633,127.059
37.633,127.0592
37.6286,127.06
37.6284,127.06
37.6284,127.0603
37.6288,127.0603
37.6243,127.0879
37.6243,127.0881
37.6522,127.0786
37.652,127.0789
37.6469,127.0724
37.6467,127.0723
37.6491,127.0746
37.6491,127.0745
37.6492,127.0747
37.6493,127.0583
37.6493,127.0587
37.6492,127.0586
37.6492,127.0579
37.6472,127.0605
37.6472,127.06
37.6528,127.0631
37.6527,127.0627
37.6644,127.0792
37.664,127.0793
37.6639,127.0798
37.6633,127.0599
37.6634,127.0599
37.6447,127.0744
37.6451,127.0743
37.6452,127.0733
37.645,127.0725
37.639,127.0832
37.6393,127.0844
37.6397,127.0854
37.6386,127.0854
37.6374,127.0844
37.6768,127.0582
37.6532,127.0765
37.6531,127.0768
37.6442,127.0613
37.6446,127.0614
37.6442,127.0613
37.6442,127.0613
37.6442,127.0613
37.662,127.0688
37.67,127.0606
37.6705,127.0604
37.6709,127.0603
37.6558,127.0768
37.6558,127.0766
37.6617,127.0798
37.6822,127.0596
37.683,127.0627
37.6836,127.0648
37.6732,127.0628
37.6745,127.0617
37.6754,127.0625
37.6773,127.0645
37.6489,127.0663
37.6486,127.0658
37.6483,127.0664
37.6486,127.0668
37.6511,127.0654
37.6507,127.0645
37.6507,127.0645
37.6229,127.0879
37.6825,127.0903
37.67,127.0507
37.6697,127.0508
37.6691,127.0506
37.6682,127.0505
37.6691,127.0502
37.6697,127.0501
37.6308,127.0661
37.6695,127.077
37.6695,127.0766
37.6693,127.0766
37.6689,127.0767
37.6685,127.0771
37.6655,127.0668
37.6456,127.063
37.6456,127.063
37.6454,127.0626
37.6507,127.064
37.6507,127.0642
37.6513,127.0666
37.6322,127.0688
37.6324,127.069
37.6323,127.0694
37.632,127.0689
37.632,127.0692
37.635,127.0711
37.6269,127.0706
37.6204,127.0831
37.6584,127.0723
37.6392,127.0512
37.6386,127.0513
37.6383,127.0514
37.6381,127.0519
37.6399,127.0653
37.6403,127.0656
37.6399,127.0657
37.6399,127.0658
37.6393,127.066
37.6401,127.0652
37.6402,127.0673
37.6398,127.0671
37.6397,127.0675
37.64,127.0675
37.615,127.0647
37.6239,127.0749
37.6268,127.0767
37.6247,127.0776
37.6227,127.0779
37.6211,127.0784
37.6208,127.0786
37.62,127.08
37.6199,127.0808
37.6198,127.0815
37.6203,127.0833
37.6205,127.0838
37.6208,127.0845
37.6217,127.0868
37.622,127.0877
37.6223,127.0884
37.623,127.0899
37.625,127.0524
37.6271,127.0519
37.6281,127.0534
37.6374,127.0632
37.6318,127.0656
37.6659,127.0533
