장소,발생건수
"아파트,연립다세대",30
단독주택,26
고속도로,0
노상,17
상점,2
"시장,노점",0
숙박업소목욕탕,0
유흥접객업소,5
사무실,5
공장,0
공사장광산,0
창고,0
"역,대합실",2
지하철,0
기타교통수단내,1
흥행장,0
유원지,1
학교,0
금융기관,0
의료기관,1
종교기관,1
산야,0
해상,0
부대,0
구금장소,0
공지,0
기타,13
"아파트,연립다세대",12
단독주택,11
고속도로,0
노상,39
상점,16
"시장,노점",0
숙박업소목욕탕,2
유흥접객업소,6
사무실,5
공장,0
공사장광산,0
창고,0
"역,대합실",1
지하철,1
기타교통수단내,1
흥행장,0
유원지,0
학교,0
금융기관,1
의료기관,0
종교기관,0
산야,0
해상,0
부대,0
구금장소,0
공지,0
기타,22
"아파트,연립다세대",551
단독주택,578
고속도로,0
노상,950
상점,191
"시장,노점",7
숙박업소목욕탕,277
유흥접객업소,679
사무실,152
공장,5
공사장광산,2
창고,1
"역,대합실",178
지하철,601
기타교통수단내,228
흥행장,12
유원지,68
학교,47
금융기관,4
의료기관,60
종교기관,17
산야,1
해상,0
부대,1
구금장소,0
공지,0
기타,1206
"아파트,연립다세대",2886
단독주택,1579
고속도로,1
노상,11442
상점,8991
"시장,노점",314
숙박업소목욕탕,337
유흥접객업소,1684
사무실,420
공장,26
공사장광산,176
창고,79
"역,대합실",348
지하철,503
기타교통수단내,503
흥행장,64
유원지,487
학교,189
금융기관,578
의료기관,232
종교기관,56
산야,37
해상,0
부대,1
구금장소,0
공지,1
기타,6645
"아파트,연립다세대",6302
단독주택,5712
고속도로,40
노상,16872
상점,1356
"시장,노점",133
숙박업소목욕탕,364
유흥접객업소,3565
사무실,1048
공장,45
공사장광산,172
창고,21
"역,대합실",544
지하철,422
기타교통수단내,596
흥행장,36
유원지,406
학교,192
금융기관,65
의료기관,356
종교기관,97
산야,16
해상,0
부대,4
구금장소,8
공지,0
기타,8411
