포인트 wkt,읍면동명
POINT (126.968590563668 37.5793826677127),누하동
POINT (126.968590563668 37.5793826677127),누하동
POINT (126.968590563668 37.5793826677127),누하동
POINT (126.968590563668 37.5793826677127),누하동
POINT (126.968535907548 37.579433000699),누하동
POINT (126.968469780128 37.5794100978088),누하동
POINT (126.968374877192 37.5794352461928),누하동
POINT (126.96812760059 37.5793916977198),누하동
POINT (126.967969438972 37.5794099631075),누하동
POINT (126.967995282443 37.5794946455272),누하동
POINT (126.967995282443 37.5794946455272),누하동
POINT (126.967949189643 37.5796914461324),누하동
POINT (126.967949189643 37.5796914461324),누하동
POINT (126.967949189643 37.5796914461324),누하동
POINT (126.967788141954 37.5797325957374),누하동
POINT (126.967655776206 37.5799431037931),누하동
POINT (126.967675893145 37.5799705715962),누하동
POINT (126.967675893145 37.5799705715962),누하동
POINT (126.967391222132 37.5799521851074),누하동
POINT (126.967126656927 37.5799864395939),누하동
POINT (126.966945462117 37.580066487349),누하동
POINT (126.966945462117 37.580066487349),누하동
POINT (126.966945462117 37.580066487349),누하동
POINT (126.96656587838 37.5800915542175),누하동
POINT (126.966525606336 37.5801235821451),누하동
POINT (126.966525606336 37.5801235821451),누하동
POINT (126.966053990991 37.5801783720502),누하동
POINT (126.966053990991 37.5801783720502),누하동
POINT (126.965918821206 37.5802195265398),누하동
POINT (126.965697340478 37.5803567738437),누하동
POINT (126.965697340478 37.5803567738437),누하동
POINT (126.965697340478 37.5803567738437),누하동
POINT (126.968029792683 37.5794855007802),누하동
POINT (126.97173119447 37.5779027859495),체부동
POINT (126.971621934579 37.5778821630076),체부동
POINT (126.971621934579 37.5778821630076),체부동
POINT (126.971621934579 37.5778821630076),체부동
POINT (126.971647837195 37.5778203790501),체부동
POINT (126.971386223496 37.5776807158852),체부동
POINT (126.971386223496 37.5776807158852),체부동
POINT (126.971012389186 37.5777447033878),체부동
POINT (126.970566706412 37.5777102652356),체부동
POINT (126.970566706412 37.5777102652356),체부동
POINT (126.970604074789 37.577742313892),체부동
POINT (126.970313639709 37.5777765690908),체부동
POINT (126.970020336252 37.5777925146444),체부동
POINT (126.970020336252 37.5777925146444),체부동
POINT (126.970020336252 37.5777925146444),체부동
POINT (126.970020336252 37.5777925146444),체부동
