자치구,위도,경도
중랑구,37.5809,127.0848
중랑구,37.5809,127.0848
중랑구,37.5822,127.0839
중랑구,37.5791,127.0859
중랑구,37.582,127.0953
중랑구,37.5798,127.0862
중랑구,37.5798,127.0862
중랑구,37.5798,127.0862
중랑구,37.5801,127.0846
중랑구,37.5798,127.0862
중랑구,37.5824,127.0855
중랑구,37.5824,127.0855
중랑구,37.5824,127.0855
중랑구,37.5818,127.0867
중랑구,37.5828,127.0867
중랑구,37.5828,127.0867
중랑구,37.5825,127.0843
중랑구,37.5828,127.0867
중랑구,37.5824,127.0855
중랑구,37.5809,127.0878
중랑구,37.5876,127.0989
중랑구,37.5825,127.0843
중랑구,37.5835,127.0871
중랑구,37.5838,127.0856
중랑구,37.5835,127.0871
중랑구,37.5832,127.0935
중랑구,37.5836,127.0873
중랑구,37.5836,127.0873
중랑구,37.5834,127.0877
중랑구,37.5832,127.0935
중랑구,37.5836,127.0873
중랑구,37.5833,127.0869
중랑구,37.5833,127.0869
중랑구,37.5836,127.0873
중랑구,37.5839,127.0851
중랑구,37.5833,127.0869
중랑구,37.5832,127.0935
중랑구,37.5839,127.0851
중랑구,37.5855,127.0966
중랑구,37.5854,127.0955
중랑구,37.6157,127.0913
중랑구,37.5855,127.0966
중랑구,37.5854,127.0955
중랑구,37.5877,127.0967
중랑구,37.5863,127.0962
중랑구,37.5863,127.0962
중랑구,37.5854,127.0955
중랑구,37.5816,127.0936
중랑구,37.6138,127.0886
중랑구,37.5877,127.0967
중랑구,37.5833,127.0869
중랑구,37.5877,127.0967
중랑구,37.5877,127.0967
중랑구,37.5839,127.0851
중랑구,37.5768,127.0865
중랑구,37.5825,127.0843
중랑구,37.6142,127.0892
중랑구,37.5827,127.088
중랑구,37.5827,127.088
중랑구,37.5822,127.088
중랑구,37.5827,127.088
중랑구,37.5808,127.0884
중랑구,37.5808,127.0884
중랑구,37.5822,127.088
중랑구,37.615,127.0889
중랑구,37.5882,127.0979
중랑구,37.5836,127.0952
중랑구,37.5836,127.0952
중랑구,37.5836,127.0952
중랑구,37.5817,127.0886
중랑구,37.581,127.0903
중랑구,37.5808,127.0884
중랑구,37.615,127.0889
중랑구,37.5882,127.0979
중랑구,37.5807,127.089
중랑구,37.5811,127.0926
중랑구,37.5811,127.0926
중랑구,37.5811,127.0926
중랑구,37.5817,127.0915
