개방자치단체코드,상세영업상태명,지번주소,도로명주소
3220000,영업,"서울특별시 강남구 역삼동 678-24 늘봄빌딩 2,3층","서울특별시 강남구 테헤란로27길 8-4, 늘봄빌딩 (2,3층) (역삼동)"
3230000,영업,서울특별시 송파구 가락동 98-7,"서울특별시 송파구 송파대로28길 13, 지하1층 101호 (가락동, 거북이빌딩)"
3130000,폐업,서울특별시 마포구 합정동 382-22번지 지하1층 ,
3180000,영업,서울특별시 영등포구 신길동 449-22 신성빌딩,"서울특별시 영등포구 영등포로 400, 신성빌딩 지하1층 (신길동)"
3210000,영업,서울특별시 서초구 잠원동 12-21,서울특별시 서초구 강남대로 615 (잠원동)
3190000,폐업,서울특별시 동작구 신대방동 607-28,"서울특별시 동작구 시흥대로 646, 지하1층 (신대방동)"
3050000,영업,서울특별시 동대문구 장안동 382-23,서울특별시 동대문구 장한로21길 11-4 (장안동)
3000000,영업,서울특별시 종로구 수송동 58 두산위브 (지하1층 B137~B140호),"서울특별시 종로구 삼봉로 81 (수송동,두산위브 (지하1층 B137~B140호))"
3000000,영업,서울특별시 종로구 돈의동 123-0,서울특별시 종로구 돈화문로5가길 15 (돈의동)
3180000,영업,서울특별시 영등포구 영등포동3가 23-1 2층,"서울특별시 영등포구 영등포로50길 8-3 (영등포동3가, 2층)"
3220000,영업,서울특별시 강남구 청담동 98-6,"서울특별시 강남구 도산대로 455, 지하1층 (청담동)"
3080000,영업,서울특별시 강북구 수유동 86-1,서울특별시 강북구 도봉로73길 11 (수유동)
3200000,영업,서울특별시 관악구 남현동 1061-22,서울특별시 관악구 과천대로 945 (남현동)
3200000,영업,서울특별시 관악구 신림동 1431-1,"서울특별시 관악구 신림로 373, 지하1층 (신림동)"
3220000,폐업,서울특별시 강남구 논현동 164-0번지 지상3? ,
3180000,영업,서울특별시 영등포구 여의도동 44-35 제일빌딩,"서울특별시 영등포구 여의대방로 379, 제일빌딩 지하1층 001,002호 (여의도동)"
3230000,영업,서울특별시 송파구 가락동 79-4,"서울특별시 송파구 송파대로28길 20, 지하1층 106호 (가락동)"
3050000,영업,서울특별시 동대문구 장안동 366-6,"서울특별시 동대문구 장한로 106, 2층 (장안동)"
3160000,영업,서울특별시 구로구 오류동 38-1 대서프라자 202호 202호,"서울특별시 구로구 경인로23길 8, 202호 (오류동, 대서프라자 202호)"
3000000,영업,서울특별시 종로구 숭인동 313-8 지하1층,"서울특별시 종로구 지봉로 26-1, 지하1층 (숭인동)"
