지번주소,도로명주소
서울특별시 노원구 상계동 706-1 2층,"서울특별시 노원구 노해로75길 20-21 (상계동,2층)"
서울특별시 노원구 상계동 710 문화빌딩 지하1층,"서울특별시 노원구 노해로77길 14-3, 지하1층 (상계동, 문화빌딩)"
서울특별시 노원구 상계동 730-5 지하2호,"서울특별시 노원구 동일로 1393, 지하층 지하2호 (상계동)"
서울특별시 노원구 상계동 711-9 노블레스관광호텔 3층,"서울특별시 노원구 노해로77길 22, 노블레스관광호텔 3층 (상계동)"
서울특별시 노원구 상계동 734-4번지 동방빌딩 ,"서울특별시 노원구 노해로 456, 동방빌딩 지하층 (상계동)"
"서울특별시 노원구 상계동 724-3번지 지하1층 2,3,4호 ","서울특별시 노원구 노해로 494, 지하1층 2,3,4호 (상계동)"
서울특별시 노원구 상계동 728-1번지 지하1층 ,"서울특별시 노원구 동일로 1396 (상계동,지하1층)"
서울특별시 노원구 상계동 711-13 ,서울특별시 노원구 동일로 1417 (상계동)
서울특별시 노원구 상계동 707-1번지 ,서울특별시 노원구 노해로75길 14-19 (상계동)
서울특별시 노원구 상계동 709-1번지 은성빌딩 ,"서울특별시 노원구 노해로 457, 은성빌딩 지하1층 (상계동)"
서울특별시 노원구 상계동 724-2 프린스빌딩 ,"서울특별시 노원구 노해로 492, 프린스빌딩 지하1층 (상계동)"
서울특별시 노원구 상계동 711-9번지 지하2층 ,"서울특별시 노원구 노해로77길 22, 지하2층 (상계동)"
서울특별시 노원구 상계동 708-2,서울특별시 노원구 노해로75길 14-22 (상계동)
서울특별시 노원구 상계동 708,"서울특별시 노원구 노해로75길 14-18, 지하1층 (상계동)"
서울특별시 노원구 상계동 707-3 지하1층,"서울특별시 노원구 노해로75길 14-25 (상계동,지하1층)"
서울특별시 노원구 상계동 704-3 유남빌딩 지하,"서울특별시 노원구 노해로75길 14-12 (상계동,유남빌딩 지하)"
서울특별시 노원구 상계동 705-0,서울특별시 노원구 노해로 447 (상계동)
서울특별시 노원구 상계동 710-2 ,서울특별시 노원구 노해로77길 14-7 (상계동)
